id,name,TrackingID
20211,StarToyota160x600,NULL
20211,StarToyotaFOXNEWS,NULL
20212,160nonex,
20212,ATTMikeCalvertToyota160x600,
20212,ATTMikeCalvertToyota300x250,
20212,MikeCalvertAS3,
20212,MikeCalvertToyota,
20212,XfinityMikeCalvertToyota160,
20212,XfinityMikeCalvertToyota300x250,
20214,WETM,NULL
20215,Marin,NULL
20216,ScottHonda,NULL
20218,SpringfieldHyundai,NULL
20219,ThomasChevrolet,NULL
20220,TAG1,NULL
20221,WinnerAutomotiveGroup,NULL
20222,QuigleyMotorsInc,NULL
20223,Seattle,NULL
20225,CarouselTag,NULL
20225,StateFarmNaples,NULL
20226,MontgomeryvilleAcura,NULL
20227,OReillyPontiac,NULL
20228,KenCarr,NULL
20229,aaa1,NULL
20229,TAG1,NULL
20229,Tag3,NULL
20230,MattBlattDealerships,NULL
20231,Tag1,NULL
20232,CarSenseInc,NULL
20233,ApolloAuto,NULL
20234,wsyr,NULL
20234,wsyr300,NULL
20235,YBHAudi,NULL
20236,HolmanInfiniti,NULL
20239,JBertoletVW,NULL
20240,PatriotBuickGMC,NULL
20241,radio1,NULL
20241,Radio1300,NULL
20242,RaycoEuroSpecialties,NULL
20243,SandsFord,NULL
20244,QualityCarsOnline,NULL
20245,ScottSelect,NULL
20246,PacificoMarpleAutoGroup,NULL
20248,BurlingtonKia,NULL
20252,PNJ,NULL
20252,PNJ160Blk,NULL
20252,WEAR,NULL
20252,WEAR160Blk,NULL
20253,WEAR728,NULL
20254,CarouselHeader,NULL
20254,RadioOneBalt,NULL
20255,StrongsvilleDodge,NULL
20255,StrongsvilleDodge300x250,NULL
20255,StrongsvilleDodge728x90,NULL
20256,CarouselNocat,NULL
20256,CherryHIll,
20256,CherryHillLandRover,NULL
20257,DamonMichels,NULL
20257,PrudentialFoxRoach,NULL
20258,ApolloAuto,NULL
20259,LawrenceToyota,NULL
20260,BuddBaerSubaru,NULL
20263,Honolulu,NULL
20264,HeritageChevrolet,NULL
20264,HeritageChevrolet300x250,NULL
20264,HeritageChevroletSecureAS3,NULL
20265,WhittenBrothers,NULL
20266,NelsonAutomotiveFamily,NULL
20266,NelsonAutomotiveFamily160x600,NULL
20266,NelsonAutomotiveFamily300x250,NULL
20267,CovingtonHondaNissan,NULL
20267,CovingtonHondaNissan160x600,NULL
20267,CovingtonHondaNissan728x90,NULL
20268,tag1,NULL
20269,DEMOCarousel,NULL
20269,DEMONEW,NULL
20269,HolidayGuide,NULL
20269,Test,NULL
20269,Test2,NULL
20270,160NonExpNF,_BLfd240bb__
20270,wilx,NULL
20270,wilx160,NULL
20270,wilx160right,NULL
20270,wilx300,NULL
20271,728Red,NULL
20272,TischerAcuraNissan,NULL
20273,CarCenterofWaldorf,NULL
20273,NEW300x250,NULL
20274,EasternMotors160x600,
20274,EasternMotorsDC,NULL
20274,EasternMotorsDCRev,
20274,EasternMotorsIBV,
20274,Easterns160,NULL
20274,Easterns160a,NULL
20274,Easterns728,NULL
20275,OurismanChryslerJeepDodge,NULL
20276,Carousel,NULL
20276,TateFredrichChryslerJeep,NULL
20278,ParsonsKia,NULL
20279,WaldorfVWSubaru,NULL
20279,WaldorfVWSubaruOct2012,NULL
20283,IBVWallaceHyundai,NULL
20283,WallaceHyundai,NULL
20284,SoutheasternHonda,NULL
20285,LouBachrodtMazda,NULL
20286,IBVTreasureCoastLexus,NULL
20286,TreasureCoastLexus,NULL
20286,TreasureCoastLexusAS3,NULL
20287,DelrayHonda,NULL
20288,MinookaSubaru,NULL
20289,BlaiseAlexanderChryslerJeep,NULL
20290,AlexanderFamilyPontiac,NULL
20291,AlexanderPontiacBuickGMC,NULL
20292,AlexanderNissan,NULL
20293,AlexanderKIA,NULL
20294,BlaiseAlexanderFord,NULL
20295,BonnerChevrolet,NULL
20295,BonnerChevroletAS3,
20295,XFINBonnerChevy300x250NF,_BL39daea9__
20296,DicksonCityHyundai,NULL
20298,VanCampenMotors,NULL
20299,PrestigeAutoComplex,NULL
20300,EastCoastAquatics,NULL
20301,Ad,NULL
20301,SeanTest,NULL
20302,GSNLeaderboard,NULL
20302,GSNRectangleCustom,NULL
20302,GSNSkyscraper,NULL
20302,Rectangle,NULL
20302,Test,NULL
20302,TESTREPORT,NULL
20304,wvlt,NULL
20304,wvlt160,NULL
20304,wvlt300,NULL
20307,MDResidentialRealty,NULL
20307,MDResidentialRealtyInc,NULL
20310,SuperiorBuickCadillac,NULL
20312,Food,NULL
20313,KuniBMW,NULL
20314,CerroneChevyBuickGMC,NULL
20315,metromag,NULL
20315,metromag300,NULL
20316,CarouselNocat,NULL
20316,RadioOneDet,NULL
20317,DMiRetail,NULL
20317,RetailLeadboard,NULL
20317,RetailNarrow,NULL
20317,RetailRectangle,NULL
20321,ATest,NULL
20322,test,NULL
20325,HanselFLM,NULL
20327,Test,NULL
20331,KWWL,NULL
20333,BaumChevrolet,NULL
20333,BaumChevrolet2,NULL
20333,BaumChevyChampaign,NULL
20333,BaumIBV,NULL
20333,IBMBaum2,NULL
20334,GreenFamilyStoresDodge,NULL
20335,JimMcCombChevrolet,NULL
20336,CapeCoral,NULL
20336,CapeCoral1,NULL
20337,GermainAcura,NULL
20338,VolvoJaguarSample,NULL
20338,VolvoJaguarSample2,NULL
20338,VolvoJaguarSample3,NULL
20339,WTAPMatheny,NULL
20340,DonHattanLeaderboard,NULL
20340,test,NULL
20341,NewarkChryJeep,
20341,NewarkChryJeep300x250NonFlash,_BL675ca79__
20341,NewarkChryslerJeepDodge,NULL
20342,Fire,NULL
20342,Test,NULL
20343,SanJoseBritishMotors,NULL
20344,MancarisOakLawnChryslerDodgeJeep,NULL
20344,OakLawn,NULL
20344,OrlandPark,NULL
20346,HotspotRollover300x250,NULL
20346,rr,NULL
20347,160x600NonExpandWoolwineFord,
20347,WoolwineAS3,
20347,WoolwineFord,NULL
20347,WoolwineNONEXPAND,NULL
20348,RBFRIES,NULL
20349,728DEMO,NULL
